index,Title,imdbID,Writer,Plot,Awards,Metascore,Type
2314,Charlie and the Chocolate Factory,tt0367594,"Roald Dahl (book), John August (screenplay)","A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",Nominated for 1 Oscar. Another 14 wins & 50 nominations.,72,movie
2315,Joyeux Noel,tt0424205,Christian Carion,"In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life.",Nominated for 1 Oscar. Another 6 wins & 11 nominations.,70,movie
2316,Diary of a Mad Black Woman,tt0422093,"Tyler Perry (play), Tyler Perry",A couple's seemingly solid marriage begins to crumble when the wife discovers that her husband intends to divorce her.,13 wins & 13 nominations.,36,movie
2317,War of the Worlds,tt0407304,"Josh Friedman (screenplay), David Koepp (screenplay), H.G. Wells (novel)","As Earth is invaded by alien tripod fighting machines, one family fights for survival.",Nominated for 3 Oscars. Another 14 wins & 44 nominations.,73,movie
2318,Harsh Times,tt0433387,David Ayer,A tough-minded drama about two friends in South Central Los Angeles and the violence that comes between them.,2 nominations.,56,movie
2319,Get Rich or Die Tryin',tt0430308,Terence Winter,"A tale of an inner city drug dealer who turns away from crime to pursue his passion, rap music.",6 wins & 3 nominations.,45,movie
2320,Water,tt0240200,"Anurag Kashyap (dialogue), Deepa Mehta","A thesis picture. In 1938, Gandhi's party is making inroads in women's rights. Chuyia, a child already married but living with her parents, becomes a widow. By tradition, she is ...",Nominated for 1 Oscar. Another 17 wins & 14 nominations.,77,movie
2321,Goal! The Dream Begins,tt0380389,"Mike Jefferies (story), Adrian Butchart (screenplay), Dick Clement (screenplay), Ian La Frenais (screenplay), Mike Jefferies (screenplay)","The extremely talented Santiago Munez is given a chance at professional football, after being spotted by a scout who has ties with Newcastle United.",1 win & 6 nominations.,53,movie
2322,The Upside of Anger,tt0365885,Mike Binder,"When her husband unexpectedly disappears, a sharp-witted suburban wife and her daughters juggle their mom's romantic dilemmas and family dynamics.",5 wins & 13 nominations.,63,movie
2323,Hitch,tt0386588,Kevin Bisch,"While helping his latest client woo the woman of his dreams, a professional ""date doctor"" finds that his game doesn't quite work on the gossip columnist with whom he's smitten.",4 wins & 24 nominations.,58,movie
2324,Be Cool,tt0377471,"Elmore Leonard (novel), Peter Steinfeld (screenplay)","Disenchanted with the movie industry, Chili Palmer tries the music industry, meeting and romancing a widow of a music executive on the way.",1 win & 13 nominations.,37,movie
2325,The Brothers Grimm,tt0355295,Ehren Kruger,Will and Jake Grimm are traveling con-artists who encounter a genuine fairy-tale curse which requires true courage instead of their usual bogus exorcisms.,4 wins & 5 nominations.,51,movie
2326,Serenity,tt0379786,Joss Whedon,The crew of the ship Serenity try to evade an assassin sent to recapture one of their members who is telepathic.,9 wins & 9 nominations.,74,movie
2327,The Sisterhood of the Traveling Pants,tt0403508,"Ann Brashares (novel), Delia Ephron (screenplay), Elizabeth Chandler (screenplay)",Four best girlfriends hatch a plan to stay connected with one another as their lives start off in different directions: they pass around a pair of secondhand jeans that fits each of their bodies perfectly.,1 win & 14 nominations.,66,movie
2328,Match Point,tt0416320,Woody Allen,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law.",Nominated for 1 Oscar. Another 11 wins & 30 nominations.,72,movie
2329,The Greatest Game Ever Played,tt0388980,"Mark Frost (book), Mark Frost (screenplay)","In the 1913 US Open, 20-year-old Francis Ouimet played golf against his idol, 1900 US Open champion, Englishman Harry Vardon.",3 nominations.,55,movie
2330,Stealth,tt0382992,W.D. Richter,"Deeply ensconced in a top-secret military program, three pilots struggle to bring an artificial intelligence program under control before it initiates the next world war.",2 nominations.,35,movie
2331,The Exorcism of Emily Rose,tt0404032,"Paul Harris Boardman, Scott Derrickson",A lawyer takes on a negligent homicide case involving a priest who performed an exorcism on a young girl.,4 wins & 9 nominations.,46,movie
2332,Lord of War,tt0399295,Andrew Niccol,An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.,2 wins & 2 nominations.,62,movie
2333,Elizabethtown,tt0368709,Cameron Crowe,"During a hometown memorial for his Kentucky-born father, a young man begins an unexpected romance with a too-good-to-be-true stewardess.",2 wins & 4 nominations.,45,movie
2334,Sahara,tt0318649,"Clive Cussler (novel), Thomas Dean Donnelly (screenplay), Joshua Oppenheimer (screenplay), John C. Richards (screenplay), James V. Hart (screenplay)","Master explorer Dirk Pitt goes on the adventure of a lifetime of seeking out a lost Civil War battleship known as the ""Ship of Death"" in the deserts of West Africa while helping a WHO doctor being hounded by a ruthless dictator.",2 wins & 5 nominations.,41,movie
2335,Jarhead,tt0418763,"William Broyles Jr. (screenplay), Anthony Swofford (book)",A psychological study of operations desert shield and desert storm during the gulf war; through the eyes of a U.S marine sniper who struggles to cope with the possibility his girlfriend may be cheating on him back home.,6 wins & 12 nominations.,58,movie
2336,North Country,tt0395972,"Michael Seitzman (screenplay), Clara Bingham (book), Laura Leedy (book)","A fictionalized account of the first major successful sexual harassment case in the United States, Jenson vs. Eveleth Mines, where a woman who endured a range of abuse while working as a miner filed and won the landmark 1984 lawsuit.",Nominated for 2 Oscars. Another 6 wins & 17 nominations.,68,movie
2337,Insomnia Manica,tt0455556,Daston Kalili,A fast paced psychological thrill ride combining relentless and cutting edge filmmaking make Insomnia Manica a gripping neo-noir tale of a young group of vigilante thieves who choose to ...,2 wins.,N/A,movie
2338,Domino,tt0421054,"Richard Kelly (screenplay), Richard Kelly (story), Steve Barancik (story)",A recounting of Domino Harvey's life story. The daughter of actor Laurence Harvey turned away from her career as a Ford model to become a bounty hunter.,2 wins.,36,movie
2339,The World's Fastest Indian,tt0412080,Roger Donaldson,"The story of New Zealander Burt Munro (Sir Anthony Hopkins), who spent years rebuilding a 1920 Indian motorcycle, which helped him set the land speed world record at Utah's Bonneville Salt Flats in 1967.",10 wins & 6 nominations.,68,movie
2340,The Interpreter,tt0373926,"Martin Stellman (story), Brian Ward (story), Charles Randolph (screenplay), Scott Frank (screenplay), Steven Zaillian (screenplay)","Political intrigue and deception unfold inside the United Nations, where a U.S. Secret Service agent is assigned to investigate an interpreter who overhears an assassination plot.",3 wins & 2 nominations.,62,movie
2341,The Ring Two,tt0377109,"Ehren Kruger, Kôji Suzuki (novel), Hiroshi Takahashi","6 months after the incidents involving the lethal videotape, new clues prove that there is a new evil lurking in the darkness.",2 wins & 11 nominations.,44,movie
2342,Syriana,tt0365737,"Stephen Gaghan, Robert Baer (book)",A politically charged epic about the state of the oil industry in the hands of those personally involved in and affected by it.,Won 1 Oscar. Another 13 wins & 28 nominations.,76,movie
2343,Batman Begins,tt0372784,"Bob Kane (characters), David S. Goyer (story), Christopher Nolan (screenplay), David S. Goyer (screenplay)","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",Nominated for 1 Oscar. Another 14 wins & 72 nominations.,70,movie
2344,The Constant Gardener,tt0387131,"Jeffrey Caine (screenplay), John le Carré (based on the novel by)","A widower is determined to get to the bottom of a potentially explosive secret involving his wife's murder, big business, and corporate corruption.",Won 1 Oscar. Another 35 wins & 68 nominations.,82,movie
2345,The Legend of Zorro,tt0386140,"Roberto Orci (screenplay), Alex Kurtzman (screenplay), Roberto Orci (story), Alex Kurtzman (story), Ted Elliott (story), Terry Rossio (story), Johnston McCulley (character)","Despite trying to keep his swashbuckling to a minimum, a threat to California's pending statehood causes the adventure-loving Don Alejandro de la Vega (Antonio Banderas) and his wife, Elena (Catherine Zeta-Jones), to take action.",2 wins & 3 nominations.,47,movie
2346,Oliver Twist,tt0380599,"Charles Dickens (novel), Ronald Harwood (screenplay)","An adaptation of the classic Dickens tale, where an orphan meets a pickpocket on the streets of London. From there, he joins a household of boys who are trained to steal for their master.",2 wins & 4 nominations.,65,movie
2347,The Great Raid,tt0326905,"William B. Breuer (book), Hampton Sides (book), Carlo Bernard (screenplay), Doug Miro (screenplay)","Taking place towards the end of WWII, 500 American Soldiers have been entrapped in a camp for 3 years. Beginning to give up hope they will ever be rescued, a group of Rangers goes on a dangerous mission to try and save them.",1 nomination.,48,movie
2348,V for Vendetta,tt0434409,"Lilly Wachowski (screenplay), Lana Wachowski (screenplay), David Lloyd (graphic novel art)","In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",7 wins & 27 nominations.,62,movie
2349,The 40-Year-Old Virgin,tt0405422,"Judd Apatow, Steve Carell","Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother.",10 wins & 19 nominations.,73,movie
2350,Fateless,tt0367082,"Imre Kertész (novel), Imre Kertész (screenplay)","Fourteen-year-old György's life is torn apart in World War II Hungary, as he is sent to a concentration camp, where he is forced to become a man, and learns to find happiness in the midst of hatred, and what it really means to be Jewish.",5 wins & 7 nominations.,87,movie
2351,The Producers,tt0395251,"Mel Brooks (screenplay), Thomas Meehan (screenplay), Mel Brooks, Mel Brooks, Thomas Meehan, Mel Brooks","After putting together another Broadway flop, down-on-his-luck Producer Max Bialystock teams up with timid accountant Leo Bloom in a get-rich-quick scheme to put on the world's worst show.",Nominated for 4 Golden Globes. Another 1 win & 13 nominations.,52,movie
2352,Brokeback Mountain,tt0388795,"Annie Proulx (short story), Larry McMurtry (screenplay), Diana Ossana (screenplay)","The story of a forbidden and secretive relationship between two cowboys, and their lives over the years.",Won 3 Oscars. Another 138 wins & 128 nominations.,87,movie
2353,The White Countess,tt0384686,Kazuo Ishiguro (original screenplay),"Set in 1930s Shanghai, where a blind American diplomat develops a curious relationship with a young Russian refugee who works odd -- and sometimes illicit -- jobs to support members of her dead husband's aristocratic family.",2 nominations.,60,movie
2354,Rent,tt0294870,"Stephen Chbosky (screenplay), Jonathan Larson (book)","This is the film version of the Pulitzer and Tony Award winning musical about Bohemians in the East Village of New York City struggling with life, love and AIDS, and the impacts they have on America.",1 win & 21 nominations.,53,movie
2355,Coach Carter,tt0393162,"Mark Schwahn, John Gatins",Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him.,3 wins & 15 nominations.,57,movie
2356,The Island,tt0399201,"Caspian Tredwell-Owen (screenplay), Alex Kurtzman (screenplay), Roberto Orci (screenplay), Caspian Tredwell-Owen (story)","A man living in a futuristic sterile colony begins to question his circumscribed existence when his friend is chosen to go to the Island, the last uncontaminated place on earth.",1 win & 6 nominations.,50,movie
2357,Manderlay,tt0342735,Lars von Trier,"A story of slavery, set in the southern U.S. in the 1930s.",1 win & 15 nominations.,46,movie
2358,Star Wars: Episode III - Revenge of the Sith,tt0121766,George Lucas,"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.",Nominated for 1 Oscar. Another 25 wins & 56 nominations.,68,movie
2359,Cinderella Man,tt0352248,"Cliff Hollingsworth (screenplay), Akiva Goldsman (screenplay), Cliff Hollingsworth (story)","The story of James Braddock, a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s.",Nominated for 3 Oscars. Another 16 wins & 41 nominations.,69,movie
2360,The Lost City,tt0343996,Guillermo Cabrera Infante,"In Havana, Cuba in the late 1950s, a wealthy family, one of whose sons is a prominent night-club owner, is caught in the violent transition from the oppressive regime of Batista to the ...",2 wins & 3 nominations.,47,movie
2361,Memoirs of a Geisha,tt0397535,"Robin Swicord (screenplay), Arthur Golden (book)",Nitta Sayuri reveals how she transcended her fishing-village roots and became one of Japan's most celebrated geisha.,Won 3 Oscars. Another 27 wins & 44 nominations.,54,movie
2362,Sin City,tt0401792,Frank Miller (graphic novels),"A film that explores the dark and miserable town, Basin City, and tells the story of three different people, all caught up in violent corruption.",33 wins & 51 nominations.,74,movie
2363,The New World,tt0402399,Terrence Malick,"The story of the English exploration of Virginia, and of the changing world and loves of Pocahontas.",Nominated for 1 Oscar. Another 6 wins & 30 nominations.,69,movie
2364,Walk the Line,tt0358273,"Johnny Cash (book), Johnny Cash (book), Gill Dennis, James Mangold","A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins.",Won 1 Oscar. Another 44 wins & 46 nominations.,72,movie
2365,Harry Potter and the Goblet of Fire,tt0330373,"Steve Kloves (screenplay), J.K. Rowling (novel)","A young wizard finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",Nominated for 1 Oscar. Another 13 wins & 42 nominations.,81,movie
2366,Chocolate: Deep Dark Secrets,tt0454431,"Vivek Agnihotri, Rohit Malhotra",Five Indians living in London find themselves thrown together when two of them are implicated for a bomb blast. An Indian lawyer enters the scene to bail them out of their predicament.,N/A,N/A,movie
2367,Munich,tt0408306,"Tony Kushner (screenplay), Eric Roth (screenplay), George Jonas (book)","Based on the true story of the Black September aftermath, about the five men chosen to eliminate the ones responsible for that fateful day.",Nominated for 5 Oscars. Another 13 wins & 65 nominations.,74,movie
2368,Kingdom of Heaven,tt0320661,William Monahan,"Balian of Ibelin travels to Jerusalem during the Crusades of the 12th century, and there he finds himself as the defender of the city and its people.",5 wins & 14 nominations.,63,movie
2369,King Kong,tt0360717,"Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay), Merian C. Cooper (based on a story by), Edgar Wallace (based on a story by)","A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",Won 3 Oscars. Another 43 wins & 100 nominations.,81,movie
2370,Dil Jo Bhi Kahey...,tt0442764,Romesh Sharma,Depicts cross-cultural romance with ups and downs.,N/A,N/A,movie
2371,Iraq for Sale: The War Profiteers,tt0815181,N/A,"Robert Greenwald looks at war profiteering in Iraq by private contracting companies Halliburton, CACI, and KBR.",1 nomination.,68,movie
2372,Stay Alive,tt0441796,"William Brent Bell, Matthew Peterman","For a group of teens, the answer to the mysterious death of their old friend lies within the world of an online video game based on the true story of an ancient noblewoman known as the Blood Countess.",N/A,24,movie
2373,Happily N'Ever After,tt0308353,"Robert Moreland, Doug Langdale (additional writing), Andre Sikojev (based on a story idea by)","An alliance of evil-doers, led by Frieda, looks to take over Fairy Tale Land. But when Ella realizes her stepmother is out to ruin her storybook existence, she takes a dramatic turn and blossoms into the leader of the resistance effort.",1 nomination.,28,movie
2374,The Benchwarmers,tt0437863,"Allen Covert, Nick Swardson",A trio of guys try and make up for missed opportunities in childhood by forming a three-player baseball team to compete against standard children's Little League squads.,7 nominations.,25,movie
2375,Old Joy,tt0468526,"Jonathan Raymond, Kelly Reichardt",Two old pals reunite for a camping trip in Oregon's Cascade Mountains.,5 wins & 5 nominations.,84,movie
2376,Loving Annabelle,tt0323120,"Katherine Brooks, Olivia Bohnhoff Harris (additional screenplay), Karen Klopfenstein (additional screenplay)",Annabelle is the wise-beyond-her-years newcomer to an exclusive Catholic girls school. Having been expelled from her first two schools she's bound to stir some trouble. Sparks fly between ...,10 wins.,N/A,movie
2377,Doogal,tt0763304,"Paul Bassett (screenplay), Martine Danot (characters), Serge Danot (characters), Serge Danot (creator), Serge Danot (screenplay), Cory Edwards, Butch Hartman (screenplay adaptation), Tad Safran (screenplay), Raoff Sanoussi (screenplay), Stephane Sanoussi (screenplay)","This is the story of Doogal, an adorable candy-loving mutt who goes on a mission to save the world. Doogal must prevent the evil sorcerer Zeebad from freezing the earth forever with the ...",2 wins & 1 nomination.,23,movie
2378,Alone with Her,tt0472259,Eric Nicholas,A quiet but disturbed young man puts the life of a woman he's obsessed with under a virtual microscope when he installs hidden cameras throughout her house.,N/A,65,movie
2379,Curious George,tt0381971,"Ken Kaufman (screenplay), Ken Kaufman (story), Mike Werb (story), Margret Rey (books), H.A. Rey (books)","The Man in the Yellow Hat is an oddball museum employee who looks after his pet monkey, an inquisitive and wonderful creature whose enthusiasm often gets the best of him.",1 nomination.,62,movie
2380,I Want Someone to Eat Cheese With,tt0391229,Jeff Garlin,"About a man who has trouble with his job, trouble with women, and uses food to deal with it all.",N/A,60,movie
2381,Farce of the Penguins,tt0488539,Bob Saget,"A mockumentary that illuminates penguin survival and mating rituals, as well as one bird's search for love while on a seventy-mile trek with his hedonistic buddies.",N/A,N/A,movie
2382,Special,tt0479162,"Hal Haberman, Jeremy Passmore","A lonely comic book fan, Les Franken, has a reaction to medication and becomes convinced he's a superhero.",1 win & 3 nominations.,57,movie
2383,The Night Listener,tt0448075,"Armistead Maupin (screenplay), Terry Anderson (screenplay), Patrick Stettner (screenplay), Armistead Maupin (novel)","In the midst of his crumbling relationship, a radio show host begins speaking to his biggest fan, a young boy, via the telephone. But when questions about the boy's identity come up, the host's life is thrown into chaos.",2 nominations.,51,movie
2384,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,tt0443453,"Sacha Baron Cohen (screenplay), Anthony Hines (screenplay), Peter Baynham (screenplay), Dan Mazer (screenplay), Sacha Baron Cohen (story), Peter Baynham (story), Anthony Hines (story), Todd Phillips (story), Sacha Baron Cohen (based on a character created by)","Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world. With a documentary crew in tow, Borat becomes more interested in locating and marrying Pamela Anderson.",Nominated for 1 Oscar. Another 20 wins & 33 nominations.,89,movie
2385,Little Big Top,tt0469690,Ward Roberts,"An aging out of work clown returns to his small hometown, resigned to spend the rest of his days in a drunken stupor. But when his passion for clowning is reawakened by the local amateur circus he finds his smile.",N/A,N/A,movie
2386,Zoom,tt0383060,"Adam Rifkin (screenplay), David Berenbaum (screenplay), Adam Rifkin (screen story), Jason Lethcoe (novel)",Former superhero Jack is called back to work to transform an unlikely group of ragtag kids into superheroes at a private academy.,4 wins & 8 nominations.,26,movie
2387,Open Season,tt0400717,"Steve Bencich (screenplay by), Ron J. Friedman (screenplay by), Nat Mauldin (screenplay by), Jill Culton (screen story by), Anthony Stacchi (screen story by), Steve Moore (from an original story by), John B. Carls (from an original story by), Sam Harper (additional story material), Dan Wilson (additional story material), David Gilbreth (additional story material)","Boog, a domesticated 900lb. Grizzly bear, finds himself stranded in the woods 3 days before Open Season. Forced to rely on Elliot, a fast-talking mule deer, the two form an unlikely friendship and must quickly rally other forest animals if they are to form a rag-tag army against the hunters.",1 win & 9 nominations.,49,movie
2388,Over the Hedge,tt0327084,"Len Blum (screenplay), Lorne Cameron (screenplay), David Hoselton (screenplay), Karey Kirkpatrick (screenplay), Michael Fry (comic strip characters), T. Lewis (comic strip characters), Chris Poche (additional dialogue), Mike de Seve (story consultant), Eric Forsberg (additional dialogue)","A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food, by invading the new suburban sprawl that popped up while they were hibernating...and learns a lesson about family himself.",6 wins & 20 nominations.,67,movie
2389,The Texas Chainsaw Massacre: The Beginning,tt0420294,"Sheldon Turner (screenplay), Sheldon Turner (story), David J. Schow (story)","Before being sent to serve in Vietnam, two brothers and their girlfriends take one last road trip, but when they get into an accident, a terrifying experience will take them to a secluded house of horrors, with a chainsaw-wielding killer.",5 nominations.,30,movie
2390,Idiocracy,tt0387808,"Mike Judge (story), Mike Judge (screenplay), Etan Cohen (screenplay)","Private Joe Bauers, the definition of ""average American"", is selected by the Pentagon to be the guinea pig for a top-secret hibernation program. Forgotten, he awakes five centuries in the future. He discovers a society so incredibly dumbed down that he's easily the most intelligent person alive.",1 nomination.,66,movie
2391,London to Brighton,tt0490166,Paul Andrew Williams,"Desperate to evade an angry pimp, a London prostitute and a young girl flee by train to Brighton after an appointment with a powerful client goes violently wrong.",6 wins & 6 nominations.,55,movie
2392,Date Movie,tt0466342,"Jason Friedberg, Aaron Seltzer","Spoof of romantic comedies which focuses on a man, his crush, his parents, and her father.",4 wins & 1 nomination.,11,movie
2393,Flushed Away,tt0424095,"Dick Clement (screenplay by), Ian La Frenais (screenplay by), Christopher Lloyd (screenplay by), Joe Keenan (screenplay by), William Davies (screenplay by), Sam Fell (story by), Peter Lord (story by), Dick Clement (story by), Ian La Frenais (story by)","The story of an uptown rat that gets flushed down the toilet from his penthouse apartment, ending in the sewers of London, where he has to learn a whole new and different way of life.",Nominated for 1 BAFTA Film Award. Another 6 wins & 13 nominations.,74,movie
2394,Opal Dream,tt0420835,"Peter Cattaneo (screenplay), Phil Traill (screenplay), Ben Rice (screenplay), Ben Rice (novel)",A young girl's relationship with her imaginary friends resonates throughout her town in the Australian Outback.,1 win & 2 nominations.,56,movie
2395,Final Destination 3,tt0414982,"Glen Morgan, James Wong, Jeffrey Reddick (characters)","A student's premonition of a deadly rollercoaster ride saves her life and a lucky few, but not from Death itself, which seeks out those who escaped their fate.",6 nominations.,41,movie
2396,Beer League,tt0453453,"Frank Sebastiano, Artie Lange",An unemployed slacker inspires his softball teammates to improve their game so they won't get kicked out of the local league.,1 win & 1 nomination.,40,movie
2397,For Your Consideration,tt0470765,"Christopher Guest, Eugene Levy","Three actors learn that their respective performances in the film ""Home for Purim,"" a drama set in the mid-1940s American South, are generating award-season buzz.",3 wins & 14 nominations.,68,movie
2398,Garfield 2,tt0455499,"Joel Cohen, Alec Sokolow, Jim Davis (comic strip ""Garfield"")","Jon and Garfield visit the United Kingdom, where a case of mistaken cat identity finds Garfield ruling over a castle. His reign is soon jeopardized by the nefarious Lord Dargis, who has designs on the estate.",4 nominations.,37,movie
2399,Love's Abiding Joy,tt0785025,"Michael Landon Jr. (teleplay), Douglas Lloyd McIntosh (teleplay), Bridget Terry (teleplay), Michael Landon Jr. (television story), Douglas Lloyd McIntosh (television story), Janette Oke (novel)","The continued Westward journey of settlers Missie and Willie Lahaye. Their roots now firmly planted as they set up homestead in the far West, Missie begins to realize her passion for ...",N/A,N/A,movie
2400,DOA: Dead or Alive,tt0398913,"J.F. Lawton (screenplay), Adam Gross (screenplay), Seth Gross (screenplay), J.F. Lawton (story)","The world's best fighters are invited to DOA, an invitational martial arts contest. There, four female rival fighters will have to work together to uncover the secret that the organizer of the tournament is trying to hide.",1 nomination.,38,movie
2401,When a Stranger Calls,tt0455857,"Jake Wade Wall (screenplay), Steve Feke, Fred Walton","During a babysitting gig, a high-school student is harassed by an increasingly threatening prank caller.",3 nominations.,27,movie
2402,Friends with Money,tt0436331,Nicole Holofcener,"After she quits her lucrative job, Olivia finds herself unsure about her future and her relationships with her successful and wealthy friends.",2 wins & 2 nominations.,68,movie
2403,In Her Line of Fire,tt0487156,"Paula Goldberg (screenplay), Anna Lorenzo (screenplay)","When the Vice President's plane goes down near a remote Pacific island, he is kidnapped by rebel forces and held for ransom. It is up to his female Secret Service agent and a press secretary to infiltrate the camp and save him.",N/A,N/A,movie
2404,The Oh in Ohio,tt0422861,"Sarah Bird (story), Billy Kent (story), Adam Wierzbianski (screenplay), Adam Wierzbianski (story)",Priscilla Chase is a woman who has never had an orgasm.,2 wins & 1 nomination.,48,movie
2405,Miss Potter,tt0482546,Richard Maltby Jr.,"The story of Beatrix Potter, the author of the beloved and best-selling children's book, ""The Tale of Peter Rabbit"", and her struggle for love, happiness and success.",Nominated for 1 Golden Globe. Another 5 wins & 4 nominations.,57,movie
2406,Wristcutters: A Love Story,tt0477139,"Goran Dukic (screenplay), Etgar Keret (short story ""Kneller's Happy Campers"")",A film set in a strange afterlife way station that has been reserved for people who have committed suicide.,9 wins & 6 nominations.,62,movie
2407,The Ant Bully,tt0429589,"John A. Davis, John Nickle (book)","After Lucas Nickle floods an ant colony with his watergun, he's magically shrunken down to insect size and sentenced to hard labor in the ruins.",1 win & 4 nominations.,59,movie
2408,The Tooth Fairy,tt0473553,"Stephen J. Cannell (teleplay), Corey Strode (teleplay), Cookie Rae Brown (teleplay), Daniel Farrands (story), Carolyn Davis (story)","Darcy Wagner and her ten-and-a-half-year-old daughter Pamela ""Pammy"" are heading to the bed and breakfast of her boyfriend Peter Campbell in the River Bend Road in Northern California. ...",N/A,N/A,movie
2409,Larry the Cable Guy: Health Inspector,tt0462395,"Jonathan Bernstein, James Greer","A slovenly cable repairman becomes a big city Health Inspector, and is tasked with uncovering the source of a food poisoning epidemic.",3 nominations.,21,movie
2410,Scary Movie 4,tt0362120,"Craig Mazin (screenplay), Jim Abrahams (screenplay), Pat Proft (screenplay), Craig Mazin (story), Shawn Wayans (characters), Marlon Wayans (characters), Buddy Johnson (characters), Phil Beauman (characters), Jason Friedberg (characters), Aaron Seltzer (characters)","Cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. Also, Alien ""Tr-iPods"" are invading the world and she has to uncover the secret in order to stop them.",1 win & 3 nominations.,40,movie
2411,The Bubble,tt0476643,"Gal Uchovsky (screenplay), Eytan Fox (screenplay), Martin Sherman (excerpt from the play 'Bent"")",The movie follows a group of young friends in the city of Tel Aviv and is as much a love song to the city as it is an exploration of the claim that people in Tel Aviv are isolated from the ...,11 wins & 3 nominations.,61,movie
2412,Barnyard,tt0414853,Steve Oedekerk,"When the farmer's away, all the animals play, and sing, and dance. Eventually, though, someone has to step in and run things, a responsibility that ends up going to Otis, a carefree cow.",3 nominations.,42,movie
2413,Severance,tt0464196,"James Moran (screenplay), Christopher Smith (screenplay), James Moran (story)",During a team-building retreat in the mountains a group of sales representatives are hunted down one by one.,3 wins & 2 nominations.,62,movie
2414,Let's Go to Prison,tt0454987,"Robert Ben Garant, Thomas Lennon, Michael Patrick Jann, Jim Hogshire (book)","When a career criminal's plan for revenge is thwarted by unlikely circumstances, he puts his intended victim's son in his place by putting him in prison...and then joining him.",N/A,27,movie
2415,Unaccompanied Minors,tt0488658,"Jacob Meszaros, Mya Stark",A group of unaccompanied minors bond while snowed in at the midwestern Hoover International Airport during the holiday season and ultimately create a makeshift holiday themselves.,1 win & 3 nominations.,43,movie
2416,All the Boys Love Mandy Lane,tt0490076,Jacob Forman,"A group of high-schoolers invite Mandy Lane, an innocent, desirable girl, to a weekend party on a secluded ranch. While the festivities rage on, the number of revelers begins to drop mysteriously.",1 nomination.,44,movie
2417,Grandma's Boy,tt0456554,"Barry Wernick, Allen Covert, Nick Swardson",A thirty-five-year-old video game tester has to move in with his grandma and her two old lady roommates.,1 nomination.,33,movie
2418,Keeping Up with the Steins,tt0415949,Mark Zakarin,A 13-year-old boy uses his upcoming bar mitzvah to reconcile the strained relationship between his father and grandfather.,2 nominations.,57,movie
2419,Pulse,tt0454919,"Wes Craven (screenplay), Ray Wright (screenplay), Kiyoshi Kurosawa","When their computer hacker friend accidentally channels a mysterious wireless signal, a group of co-eds rally to stop a terrifying evil from taking over the world.",1 nomination.,27,movie
2420,Bella,tt0482463,"Alejandro Monteverde, Patrick Million, Leo Severino",A chef with a mysterious past spends the day with a waitress who needs a friend.,6 wins.,47,movie
2421,Hoot,tt0453494,"Wil Shriner (screenplay), Carl Hiaasen (novel)","A young man (Lerman) moves from Montana to Florida with his family, where he's compelled to engage in a fight to protect a population of endangered owls.",1 win & 5 nominations.,46,movie
2422,Monster House,tt0385880,"Dan Harmon (screenplay), Rob Schrab (screenplay), Pamela Pettler (screenplay), Dan Harmon (story), Rob Schrab (story)","Three teens discover that their neighbor's house is really a living, breathing, scary monster.",Nominated for 1 Oscar. Another 4 wins & 22 nominations.,68,movie
2423,Notes on a Scandal,tt0465551,"Patrick Marber (screenplay), Zoë Heller (novel)","A veteran high school teacher befriends a younger art teacher, who is having an affair with one of her 15-year-old students. However, her intentions with this new ""friend"" also go well beyond platonic friendship.",Nominated for 4 Oscars. Another 15 wins & 68 nominations.,73,movie
2424,The Marine,tt0419946,"Michelle Gallagher (story), Michelle Gallagher (screenplay), Alan B. McElroy (screenplay)",A group of diamond thieves on the run kidnap the wife of a recently discharged marine who goes on a chase through the South Carolinian wilderness to retrieve her.,N/A,45,movie
