index,Title,imdbID,Writer,Plot,Awards,Metascore,Type
32,State Fair,tt0038116,"Oscar Hammerstein II (screenplay), Philip Stong (from a novel by), Sonya Levien (adapted by), Paul Green (adapted by)",The Frake family attends the annual Iowa State Fair; each member of the clan has their own reason for doing so.,Won 1 Oscar. Another 3 nominations.,N/A,movie
33,The Lost Weekend,tt0037884,"Charles R. Jackson (from the novel by), Charles Brackett (screen play), Billy Wilder (screen play)",The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,Won 4 Oscars. Another 12 wins & 3 nominations.,N/A,movie
34,The Valley of Decision,tt0038213,"John Meehan (screen play), Sonya Levien (screen play), Marcia Davenport (based on the novel by)","An Irish maid falls for the son of her wealthy boss, though their disapproving fathers and a bitter strike at the steel mill complicates matters.",Nominated for 2 Oscars. Another 1 win.,N/A,movie
35,It's a Wonderful Life,tt0038650,"Frances Goodrich (screenplay), Albert Hackett (screenplay), Frank Capra (screenplay), Jo Swerling (additional scenes), Philip Van Doren Stern (story)",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Nominated for 5 Oscars. Another 6 wins & 1 nomination.,89,movie
36,Duel in the Sun,tt0038499,"David O. Selznick (screenplay), Niven Busch (suggested by a novel by), Oliver H.P. Garrett (adaptation)","Beautiful half-breed Pearl Chavez becomes the ward of her dead father's first love and finds herself torn between her sons, one good and the other bad.",Nominated for 2 Oscars. Another 1 win & 1 nomination.,N/A,movie
37,The Best Years of Our Lives,tt0036868,"Robert E. Sherwood (screen play), MacKinlay Kantor (from a novel by)",Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.,Won 7 Oscars. Another 14 wins & 2 nominations.,92,movie
38,The Lady from Shanghai,tt0040525,"Sherwood King (story based on a novel by), Orson Welles (screenplay)","Fascinated by gorgeous Mrs. Bannister, seaman Michael O'Hara joins a bizarre yachting cruise, and ends up mired in a complex murder plot.",N/A,N/A,movie
39,Tycoon,tt0039927,"Borden Chase (screenplay), John Twist (screenplay), C.E. Scoggins (adapted from the novel by)","In South America, an American engineer is asked by his boss to build a mountain railroad tunnel following a shorter but more dangerous route.",N/A,N/A,movie
40,Gentleman's Agreement,tt0039416,"Laura Z. Hobson (novel), Moss Hart (screen play)","A reporter pretends to be Jewish in order to cover a story on anti-Semitism, and personally discovers the true depths of bigotry and hatred.",Won 3 Oscars. Another 9 wins & 8 nominations.,N/A,movie
41,Open Secret,tt0040671,"Henry Blankfort (screenplay), Ted Murkland (story), Max Wilk (screenplay), Max Wilk (story)","Newlyweds come to visit groom's friend, only to discover him missing; and their investigation uncovers evidence of a ring of anti-semites terrorizing the neighborhood.",N/A,N/A,movie
42,The Pirate,tt0040694,"Albert Hackett (screenplay), Frances Goodrich (screenplay), S.N. Behrman (play)","A girl is engaged to the local richman, but meanwhile she has dreams about the legendary pirate Macoco. A traveling singer falls in love with her and to impress her he poses as the pirate.",Nominated for 1 Oscar. Another 1 nomination.,N/A,movie
43,Red River,tt0040724,"Borden Chase (screenplay), Charles Schnee (screenplay), Borden Chase (from ""The Saturday Evening Post"" story)","Dunson leads a cattle drive, the culmination of over 14 years of work, to its destination in Missouri. But his tyrannical behavior along the way causes a mutiny, led by his adopted son.",Nominated for 2 Oscars. Another 2 wins & 2 nominations.,N/A,movie
44,She Wore a Yellow Ribbon,tt0041866,"James Warner Bellah (story), Frank S. Nugent (screenplay), Laurence Stallings (screenplay)","Captain Nathan Brittles, on the eve of retirement, takes out a last patrol to stop an impending massive Indian attack. Encumbered by women who must be evacuated, Brittles finds his mission imperiled.",Won 1 Oscar. Another 1 nomination.,N/A,movie
45,Sands of Iwo Jima,tt0041841,"Harry Brown (screenplay), James Edward Grant (screenplay), Harry Brown (story)",A dramatization of the World War II Battle of Iwo Jima.,Nominated for 4 Oscars. Another 1 win.,N/A,movie
46,Annie Get Your Gun,tt0042200,"Sidney Sheldon (screenplay), Herbert Fields (musical book), Dorothy Fields (musical book)","The story of the great sharpshooter Annie Oakley, who rose to fame while dealing with her love/professional rival, Frank Butler.",Won 1 Oscar. Another 2 wins & 6 nominations.,77,movie
47,Show Boat,tt0044030,"John Lee Mahin (screen play), Jerome Kern (based on the immortal musical play ""Show Boat"" by), Oscar Hammerstein II (based on the immortal musical play ""Show Boat"" by), Edna Ferber (from novel)","The daughter of a riverboat captain falls in love with a charming gambler, but their fairytale romance is threatened when his luck turns sour.",Nominated for 2 Oscars. Another 1 win & 2 nominations.,N/A,movie
48,A Streetcar Named Desire,tt0044081,"Tennessee Williams (screen play), Oscar Saul (adaptation), Tennessee Williams (original play ""A Streetcar Named Desire"")",Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,Won 4 Oscars. Another 13 wins & 15 nominations.,96,movie
49,Quo Vadis,tt0043949,"John Lee Mahin (screen play), S.N. Behrman (screen play), Sonya Levien (screen play), Henryk Sienkiewicz (based on the novel by)",Fierce Roman commander Marcus Vinicius becomes infatuated with beautiful Christian hostage Lygia and begins questioning the tyrannical leadership of the despot Emperor Nero.,Nominated for 8 Oscars. Another 4 wins & 3 nominations.,N/A,movie
50,High Noon,tt0044706,"Carl Foreman (screenplay by), John W. Cunningham (based on the magazine story ""The Tin Star"" by)","A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train.",Won 4 Oscars. Another 13 wins & 10 nominations.,89,movie
51,Deadline - U.S.A.,tt0044533,Richard Brooks,"With his newspaper about to be sold, crusading editor Ed Hutcheson tries to complete an exposé on gangster Rienzi.",N/A,N/A,movie
52,Singin' in the Rain,tt0045152,"Betty Comden (story by), Adolph Green (story by)",A silent film production company and cast make a difficult transition to sound.,Nominated for 2 Oscars. Another 5 wins & 7 nominations.,99,movie
53,The Greatest Show on Earth,tt0044672,"Fredric M. Frank (screenplay), Barré Lyndon (screenplay), Theodore St. John (screenplay), Fredric M. Frank (story), Theodore St. John (story), Frank Cavett (story)","The dramatic lives of trapeze artists, a clown, and an elephant trainer are told against a background of circus spectacle.",Won 2 Oscars. Another 4 wins & 5 nominations.,N/A,movie
